Name,Institute,ExpertiseLevel,ParticipantCode
AA,Alpha,Advanced,Reader.01
AB,Beta,Advanced,Reader.02
BB,Gama,Advanced,Reader.03
BC,Delta,Advanced,Reader.04
CC,Epsilon,Advanced,Reader.05
CD,Epsilon,Advanced,Reader.06
DD,Theta,Advanced,Reader.07
DE,Theta,Advanced,Reader.08
DF,Lambda,Advanced,Reader.09
GA,Lambda,Advanced,Reader.10
GB,Alpha,Trainee,Reader.11
GC,Alpha,Trainee,Reader.12
FA,Beta,Trainee,Reader.13
FB,Beta,Trainee,Reader.14
FC,Gama,Trainee,Reader.15
FD,Gama,Trainee,Reader.16
FE,Delta,Trainee,Reader.17
FF,Delta,Trainee,Reader.18
HC,Theta,Trainee,Reader.19
HB,Lambda,Trainee,Reader.20
